domain,grain,record_id,source_row_id,source_file,source_sheet,source_row_number,year,data_confidence_score,data_confidence_marker,data_quality_issue_count,data_quality_highest_severity,record_date,worker_id,case_id,sex,age,role,worker_category,region,district,commune,fokontany,zone_type,attached_csb,start_date,current_status,inactive_reason,has_training,training_list,has_materials,materials_list,has_financial_support,financial_support_list,reports_monthly_rma,meeting_participation,has_bicycle,transport_mode,distant_hamlet_distance_km,home_visit_travel_duration_hours,households_served,recommended_by_csb
community,worker,chw_d79490f7b83c78bc2e90801c,d79490f7b83c78bc2e90801c,data_PROFESS_2026-06-27.xlsx,Sheet1,149,2026,1.0,high,1,info,2026-01-22,D002-0000135,3ab33d5c-ca56-40c5-a9df-181eab4f69e1,female,23,ac,AC base,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Tanandava Village,Accès normale,CSB2 Tanandava,2024-07-20,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,sac_a_dos autre,oui,Indetimntés de Formation,1-3,oui,non,a_pied,0,0,400,oui
community,worker,chw_f9718c4137ee01f865d69371,f9718c4137ee01f865d69371,data_PROFESS_2026-06-27.xlsx,Sheet1,150,2026,1.0,high,1,info,2026-01-22,D002-0000136,d31091d1-366e-448d-b103-62940eeaf853,female,27,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Ankilimahavelo,Accès normale,CSB2 Tanandava,2016-04-10,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination tb,oui,sac_a_dos autre,oui,Indemnités de Formation,1-3,oui,non,a_pied,1,0,300,oui
community,worker,chw_3217d78abad5364c3d15458b,3217d78abad5364c3d15458b,data_PROFESS_2026-06-27.xlsx,Sheet1,151,2026,1.0,high,1,info,2026-01-22,D002-0000137,6e16b687-0349-437c-8730-5c614cc3b404,female,29,ac,AC base,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Tanandava Village,Accès normale,CSB2 Tanandava,2024-07-20,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,non,,oui,Indemnités de Formation,1-3,oui,non,a_pied,0,1,400,oui
community,worker,chw_9dd4190d668802c35c439cc4,9dd4190d668802c35c439cc4,data_PROFESS_2026-06-27.xlsx,Sheet1,152,2026,1.0,high,1,info,2026-01-22,D002-0000138,13a49d20-60a1-45e5-bd8d-be7aafcc644c,female,50,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Tanandava Village,Accès normale,CSB2 Tanandava,2011-09-28,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination tb,oui,autre,oui,Indemnités de Formation,1-3,oui,non,a_pied,0,0,400,oui
community,worker,chw_f6e847958f3dd0dc4b0d016d,f6e847958f3dd0dc4b0d016d,data_PROFESS_2026-06-27.xlsx,Sheet1,153,2026,1.0,high,1,info,2026-01-22,D002-0000144,88c1dcd4-127d-4966-b063-b2f84a742489,male,62,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Mahampanarivo,Accès normale,CSB2 Tanandava,2008-01-01,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination tb vih,oui,sac_a_dos autre,oui,Indemnités de Formation,1-3,oui,non,a_pied,2,2,600,oui
community,worker,chw_239632baea81760179f5b2e8,239632baea81760179f5b2e8,data_PROFESS_2026-06-27.xlsx,Sheet1,154,2026,1.0,high,1,info,2026-01-22,D002-0000145,5c9f51f7-f310-48d0-9560-9e3f21ef21b4,female,34,ac,AC base,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Ankilimahavelo,Accès normale,CSB2 Tanandava,2024-07-20,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,sac_a_dos autre,oui,Indemnités de Formation,1-3,oui,non,a_pied,4,2,200,oui
community,worker,chw_47c0903944878292813c7198,47c0903944878292813c7198,data_PROFESS_2026-06-27.xlsx,Sheet1,155,2026,1.0,high,1,info,2026-01-22,D002-0000146,d50bea58-92b3-4b8f-b93d-15703641bd63,female,23,ac,AC base,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Mahampanarivo,Accès normale,CSB2 Tanandava,2024-07-20,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,sac_a_dos autre,oui,Indemnités de Formation,1-3,oui,non,a_pied,3,2,300,oui
community,worker,chw_d3d347f4c5e3e01b9bcea8d3,d3d347f4c5e3e01b9bcea8d3,data_PROFESS_2026-06-27.xlsx,Sheet1,156,2026,1.0,high,1,info,2026-01-22,D002-0000150,ce9986e6-1e21-4b1e-8970-31d9ca53771d,male,52,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Tanandava,Soavary,Accès normale,CSB2 Tanandava,2009-10-13,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,sac_a_dos autre,oui,Indemnités de Formation,1-3,oui,non,a_pied,3,1,530,oui
community,worker,chw_3fb2412a5fea3c05b4b04900,3fb2412a5fea3c05b4b04900,data_PROFESS_2026-06-27.xlsx,Sheet1,157,2026,1.0,high,1,info,2026-01-25,D003-0000001,26c289e8-09e2-427c-97ae-aea5b51ff7d1,female,64,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Ranotsara,Accès normale,CSB2 Benenitra,2006-01-25,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,1,3,200,oui
community,worker,chw_ed93f2e9c34b557f2fb0e3e3,ed93f2e9c34b557f2fb0e3e3,data_PROFESS_2026-06-27.xlsx,Sheet1,158,2026,1.0,high,1,info,2026-01-25,D003-0000007,126a70a2-c193-4fbc-b912-51f166681fcf,female,49,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Miary,Accès normale,CSB2 Benenitra,2007-05-01,Actif,,oui,sante_maternelle sante_de_lenfant autres,oui,t_shirt gai autre,oui,Formation,1-3,oui,non,a_pied,30,24,540,oui
community,worker,chw_d6c93ddf1d30f404fc00b825,d6c93ddf1d30f404fc00b825,data_PROFESS_2026-06-27.xlsx,Sheet1,159,2026,1.0,high,1,info,2026-01-25,D003-0000002,a585c85b-a026-4d84-b583-bf3f97432451,female,32,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Tanapiso,Accès normale,CSB2 Benenitra,2010-01-25,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,1,1,200,oui
community,worker,chw_6b49c82eb34e809ee51c78ab,6b49c82eb34e809ee51c78ab,data_PROFESS_2026-06-27.xlsx,Sheet1,160,2026,1.0,high,1,info,2026-01-25,D003-0000003,8698ba79-7795-4d43-9d07-d42e0b84f7c9,female,60,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Benenitra II,Accès normale,CSB2 Benenitra,2008-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai sac_a_dos autre,oui,indemnité,1-3,oui,non,a_pied,1,2,200,oui
community,worker,chw_70fa269e0870393d0dc7cad5,70fa269e0870393d0dc7cad5,data_PROFESS_2026-06-27.xlsx,Sheet1,161,2026,1.0,high,1,info,2026-01-25,D003-0000008,3a0ed0da-e7c4-486a-8a40-cdbe6ca938b4,female,64,rc,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Tanapiso,Accès normale,CSB2 Benenitra,1990-01-01,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination autres,oui,t_shirt gai,oui,Formation/bonus,1-3,oui,oui,a_pied,1,5,300,oui
community,worker,chw_98a8d37d464a39f63380455b,98a8d37d464a39f63380455b,data_PROFESS_2026-06-27.xlsx,Sheet1,162,2026,1.0,high,1,info,2026-01-25,D003-0000010,5fd3fd86-cace-4a92-a082-a54697ae1b75,female,73,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Benenitra II,Accès normale,CSB2 Benenitra,2008-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai autre,oui,indemnité,1-3,oui,non,a_pied,1,2,200,oui
community,worker,chw_36bc5a3b2cdd422ec0b6d2d1,36bc5a3b2cdd422ec0b6d2d1,data_PROFESS_2026-06-27.xlsx,Sheet1,163,2026,1.0,high,1,info,2026-01-25,D003-0000011,35df0767-da7d-4b96-b97e-47003d5147e1,female,45,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Ranotsara,Accès normale,CSB2 Benenitra,2003-01-25,Actif,,oui,sante_maternelle nutrition vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,1,2,350,oui
community,worker,chw_a2c5752c6a15e8d7ac496ef1,a2c5752c6a15e8d7ac496ef1,data_PROFESS_2026-06-27.xlsx,Sheet1,164,2026,1.0,high,1,info,2026-01-25,D003-0000009,e746ec97-304e-4e2a-be5d-bd0a4cb47655,female,36,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Tanapiso,Accès normale,CSB2 Benenitra,2020-10-02,Actif,,oui,sante_de_lenfant vaccination,oui,t_shirt autre,oui,Formation,1-3,oui,non,a_pied,2,5,300,oui
community,worker,chw_f0b95cff0de2bd7dbdd21c57,f0b95cff0de2bd7dbdd21c57,data_PROFESS_2026-06-27.xlsx,Sheet1,165,2026,1.0,high,1,info,2026-01-25,D003-0000004,fb0ac62d-11f9-4a68-a042-7b3a05604d23,male,56,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Benenitra I,Accès normale,CSB2 Benenitra,2024-08-15,Actif,,oui,vaccination,oui,t_shirt,oui,Indemnité,tout_les_3,oui,non,a_pied,2,1,960,oui
community,worker,chw_233c3e9738abca42241fd1f1,233c3e9738abca42241fd1f1,data_PROFESS_2026-06-27.xlsx,Sheet1,166,2026,1.0,high,1,info,2026-01-25,D003-0000005,47085ea6-32fb-485f-96bf-e5a087883e0a,male,32,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Mandro,Accès normale,CSB2 Benenitra,2016-01-01,Actif,,oui,sante_de_lenfant vaccination,oui,t_shirt gilet,oui,Bonus,tout_les_3,oui,non,a_pied,0,0,210,oui
community,worker,chw_a61e2ad166976063a566f223,a61e2ad166976063a566f223,data_PROFESS_2026-06-27.xlsx,Sheet1,167,2026,1.0,high,1,info,2026-01-25,D003-0000006,60e8261e-1ed6-4b71-bb8f-6797ec70432f,female,70,ac,AC base,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Benenitra I,Accès normale,CSB2 Benenitra,2003-01-01,Actif,,oui,sante_de_lenfant vaccination,oui,t_shirt gilet sac_a_dos,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,2,30,800,oui
community,worker,chw_c66bbd7b7b71da8386bd4a97,c66bbd7b7b71da8386bd4a97,data_PROFESS_2026-06-27.xlsx,Sheet1,168,2026,1.0,high,1,info,2026-01-25,D003-0000012,0d1581f3-2d9e-41e6-93a8-f0190ccfa9b1,female,64,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Miary,Accès normale,CSB2 Benenitra,2003-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,30,24,350,oui
community,worker,chw_de0dbe9ebc6ed898faad3dc8,de0dbe9ebc6ed898faad3dc8,data_PROFESS_2026-06-27.xlsx,Sheet1,169,2026,1.0,high,1,info,2026-01-25,D003-0000013,944fa2d8-4488-4221-ab01-e9954af792aa,male,29,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Mandro,Accès normale,CSB2 Benenitra,2022-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,3,3,200,oui
community,worker,chw_fcc05de4fae447386aea4896,fcc05de4fae447386aea4896,data_PROFESS_2026-06-27.xlsx,Sheet1,170,2026,1.0,high,1,info,2026-01-25,D003-0000018,e076b58d-f347-491d-a1bf-584aba6eb3f4,male,68,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Ankilivalo,Eloignés,CSB1 Ankilivalo II,2007-01-01,Actif,,oui,sante_de_lenfant vaccination,oui,t_shirt gilet sac_a_dos,oui,Indemnité,tout_les_3,oui,oui,a_pied,5,4,500,oui
community,worker,chw_77a98b98690b11f96c6c407e,77a98b98690b11f96c6c407e,data_PROFESS_2026-06-27.xlsx,Sheet1,171,2026,1.0,high,1,info,2026-01-25,D003-0000019,3cd45f4b-4719-481c-8f49-a344e8af8485,male,46,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Mitsinjo,Eloignés,CSB1 Ankilivalo II,2013-01-01,Actif,,oui,sante_de_lenfant vaccination,oui,t_shirt gilet,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,5,1,350,oui
community,worker,chw_7c6a590185174e6d42c59703,7c6a590185174e6d42c59703,data_PROFESS_2026-06-27.xlsx,Sheet1,172,2026,1.0,high,1,info,2026-01-25,D003-0000021,e65f5198-5fdf-4fd9-bc03-122661f2a159,female,35,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Besavoa Maromiandra,Eloignés,CSB1 Ankilivalo II,2024-01-01,Actif,,oui,sante_de_lenfant vaccination,oui,gilet,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,2,30,210,oui
community,worker,chw_61f21cf57c28de3286a05217,61f21cf57c28de3286a05217,data_PROFESS_2026-06-27.xlsx,Sheet1,173,2026,1.0,high,1,info,2026-01-25,D003-0000016,1c651118-55e9-4c94-b437-8bd1be4b482d,male,55,rc,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Andranomanintsy,Eloignés,CSB1 Ankilivalo II,2021-01-01,Actif,,oui,sante_de_lenfant nutrition vaccination autres,oui,t_shirt gai autre,oui,Formation/Bonus,1-3,oui,oui,a_pied,3,4,20,oui
community,worker,chw_692b230a22803a37956aa848,692b230a22803a37956aa848,data_PROFESS_2026-06-27.xlsx,Sheet1,174,2026,1.0,high,1,info,2026-01-25,D003-0000017,0cac274c-5436-4bd2-bd3e-4c78d44a4959,female,30,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Ankilivalo,Eloignés,CSB1 Ankilivalo II,2023-01-01,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gai autre,oui,Formation,1-3,oui,non,a_pied,5,4,40,oui
community,worker,chw_de5b5f2e712c8f857b3d5eec,de5b5f2e712c8f857b3d5eec,data_PROFESS_2026-06-27.xlsx,Sheet1,175,2026,1.0,high,1,info,2026-01-25,D003-0000014,8dd290a2-9571-4fcf-b8d0-3c91ff1f7944,male,54,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Besatra,Eloignés,CSB1 Ankilivalo II,2014-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,13,3,340,oui
community,worker,chw_ff3999956f7e6fd5b6288e23,ff3999956f7e6fd5b6288e23,data_PROFESS_2026-06-27.xlsx,Sheet1,176,2026,1.0,high,1,info,2026-01-25,D003-0000015,a20936a8-8286-4616-b792-c7c9da691d0c,male,52,ac,AC base,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Besavoa Maromiandra,Eloignés,CSB1 Ankilivalo II,2012-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,2,1,250,oui
community,worker,chw_90ee97fe01effde6bb037691,90ee97fe01effde6bb037691,data_PROFESS_2026-06-27.xlsx,Sheet1,177,2026,1.0,high,1,info,2026-01-25,D003-0000020,207af150-0027-48c8-9a16-dea02f6bb4e1,female,40,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Mitsinjo,Eloignés,CSB1 Ankilivalo II,2013-01-25,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,5,2,350,oui
community,worker,chw_6f88e429c37ed6f9a489c534,6f88e429c37ed6f9a489c534,data_PROFESS_2026-06-27.xlsx,Sheet1,178,2026,1.0,high,1,info,2026-01-25,D003-0000022,3235b81c-77fe-463a-90c5-1d7ff91fe8a1,female,40,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Benenitra,Besatra,Eloignés,CSB1 Ankilivalo II,2016-01-25,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,13,3,300,oui
community,worker,chw_4efeaf86a8255a7021c0ea2e,4efeaf86a8255a7021c0ea2e,data_PROFESS_2026-06-27.xlsx,Sheet1,179,2026,1.0,high,1,info,2026-01-26,D003-0000031,24ba1ffd-6b38-42a5-b38e-0b267aa5d795,male,84,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Anadabo,Accès normale,CSB2 Ankilimary,2016-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gilet gai,oui,indemnité,1-3,oui,non,a_pied,1,1,127,oui
community,worker,chw_8982e17d8c5d1a30ad7bced9,8982e17d8c5d1a30ad7bced9,data_PROFESS_2026-06-27.xlsx,Sheet1,180,2026,1.0,high,1,info,2026-01-26,D003-0000032,20eeb42a-0bf8-45ce-9ec4-210c0b0f5c64,male,68,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Anadabo,Accès normale,CSB2 Ankilimary,2016-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gilet gai,oui,indemnité de formation,1-3,oui,non,a_pied,1,1,300,oui
community,worker,chw_2f24103419566f929c926663,2f24103419566f929c926663,data_PROFESS_2026-06-27.xlsx,Sheet1,181,2026,1.0,high,1,info,2026-01-26,D003-0000033,0ccb0d4a-3b74-494a-b77b-d24b18adf7de,male,32,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Elonty,Accès normale,CSB2 Ankilimary,2012-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,t_shirt gilet,oui,indemnité de formation,1-3,pas_de_regroupement_les_3_derniers_mois,non,a_pied,2,3,400,oui
community,worker,chw_adf7cee27bbd6151fdff1ffa,adf7cee27bbd6151fdff1ffa,data_PROFESS_2026-06-27.xlsx,Sheet1,182,2026,1.0,high,1,info,2026-01-26,D003-0000034,d58655f6-0607-41f1-baaf-ff8c46b347eb,female,24,ac,AC base,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Anadabo,Accès normale,CSB2 Ankilimary,2025-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,non,,oui,indemnité de formation,1-3,oui,non,a_pied,6,3,127,oui
community,worker,chw_43398f1f8de7bb3bc6945c85,43398f1f8de7bb3bc6945c85,data_PROFESS_2026-06-27.xlsx,Sheet1,183,2026,1.0,high,1,info,2026-01-26,D003-0000035,27e33922-3d3b-4bfb-af56-645df3e5fe74,male,54,rc,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Belamotikely,Eloignés,CSB2 Ankilimary,2013-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,oui,gai autre,oui,indemnité de formation,1-3,oui,oui,a_pied,1,2,120,oui
community,worker,chw_1ca1da6192069a4d891df81a,1ca1da6192069a4d891df81a,data_PROFESS_2026-06-27.xlsx,Sheet1,184,2026,1.0,high,1,info,2026-01-26,D003-0000027,4e7fca6a-863c-4fb6-b058-08a84e040819,male,50,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Ankilimary Centre,Accès normale,CSB2 Ankilimary,2001-01-01,Actif,,oui,sante_de_lenfant vaccination,oui,t_shirt,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,30,3,700,oui
community,worker,chw_2b4302eb0f63a821dadbcdcd,2b4302eb0f63a821dadbcdcd,data_PROFESS_2026-06-27.xlsx,Sheet1,185,2026,1.0,high,1,info,2026-01-26,D003-0000028,c4cfb514-0053-4b78-8f01-daeb8d1e6c98,female,28,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Anadabo,Accès normale,CSB2 Ankilimary,2025-09-01,Actif,,oui,sante_de_lenfant,non,,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,1,20,127,oui
community,worker,chw_3a6e450fee325dc850eb10a4,3a6e450fee325dc850eb10a4,data_PROFESS_2026-06-27.xlsx,Sheet1,186,2026,1.0,high,1,info,2026-01-26,D003-0000029,1e507913-cab8-4af9-bc7b-bdf5105708b4,male,30,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Elonty,Accès normale,CSB2 Ankilimary,2010-01-01,Actif,,oui,sante_de_lenfant,oui,t_shirt sac_a_dos,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,15,2,654,oui
community,worker,chw_b114423dd507377d12f0291c,b114423dd507377d12f0291c,data_PROFESS_2026-06-27.xlsx,Sheet1,187,2026,1.0,high,1,info,2026-01-26,D003-0000030,82e9ece5-6fbf-40ce-ad9c-57be05077b38,female,27,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Ankilimary Centre,Accès normale,CSB2 Ankilimary,2024-01-01,Actif,,oui,sante_de_lenfant,non,,oui,INDEMNITÉ,1-3,oui,non,a_pied,30,4,700,oui
community,worker,chw_9036c52f8d00d64d1d6a9127,9036c52f8d00d64d1d6a9127,data_PROFESS_2026-06-27.xlsx,Sheet1,188,2026,1.0,high,1,info,2026-01-26,D003-0000038,ebef4d20-243a-4912-b98b-c601723ec0d0,male,54,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Ankilimary Centre,Enclavés,CSB2 Ankilimary,2002-01-01,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,gilet,oui,INDEMNITÉ,tout_les_3,oui,non,a_pied,30,5,700,oui
community,worker,chw_f90cbc3ea9f5ed0335d10052,f90cbc3ea9f5ed0335d10052,data_PROFESS_2026-06-27.xlsx,Sheet1,189,2026,1.0,high,1,info,2026-01-26,D003-0000040,b0673cea-3c01-4f23-ae7a-245cf7368a7a,male,37,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Mandrarano Ouest,Accès normale,CSB2 Ankilimary,2023-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,non,,oui,indemnité de formation,1-3,oui,non,a_pied,15,8,500,oui
community,worker,chw_1731c22700e645e43af3f322,1731c22700e645e43af3f322,data_PROFESS_2026-06-27.xlsx,Sheet1,190,2026,1.0,high,1,info,2026-01-26,D003-0000043,0baccd00-9e3d-4440-b6a0-0d2903d97928,male,24,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Belamotikely,Eloignés,CSB2 Ankilimary,2025-01-26,Actif,,oui,sante_maternelle sante_de_lenfant nutrition vaccination,non,,oui,indemnité de formation,1-3,oui,non,a_pied,2,2,300,oui
community,worker,chw_53ed91731e215e4b30d1aac6,53ed91731e215e4b30d1aac6,data_PROFESS_2026-06-27.xlsx,Sheet1,191,2026,1.0,high,1,info,2026-01-26,D003-0000023,e3ac98a8-7924-4ce0-8a51-e4a1a049c63d,male,32,rc,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Mandrarano Ouest,Accès normale,CSB2 Ankilimary,2014-10-25,Actif,,oui,nutrition autres,oui,t_shirt gai autre,oui,Formation,1-3,oui,oui,a_pied,15,8,500,oui
community,worker,chw_b670aa61190693eed85ae7e1,b670aa61190693eed85ae7e1,data_PROFESS_2026-06-27.xlsx,Sheet1,192,2026,1.0,high,1,info,2026-01-26,D003-0000024,7abaa22a-4169-4b87-b0b6-cb2e092b7dfb,male,57,ac,AC spécifique,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Mandrarano Ouest,Accès normale,CSB2 Ankilimary,2009-01-01,Actif,,oui,autres,oui,gai autre,oui,Formation,1-3,oui,non,a_pied,15,8,200,oui
community,worker,chw_3a30f3e144094c50a925fd68,3a30f3e144094c50a925fd68,data_PROFESS_2026-06-27.xlsx,Sheet1,193,2026,1.0,high,1,info,2026-01-26,D003-0000025,757ced90-bb42-4c74-83aa-0ca5262d37b5,male,19,ac,AC essentiel,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Mandrarano Ouest,Accès normale,CSB2 Ankilimary,2022-12-01,Actif,,oui,autres,oui,autre,oui,Formation,1-3,oui,non,a_pied,15,5,600,oui
community,worker,chw_74eba46cf1f785f18f4db842,74eba46cf1f785f18f4db842,data_PROFESS_2026-06-27.xlsx,Sheet1,194,2026,1.0,high,1,info,2026-01-26,D003-0000026,ae58e547-03d4-4aea-9658-e667531d1f01,male,31,ac,AC base,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Elonty,Accès normale,CSB2 Ankilimary,2024-12-01,Actif,,non,,non,,non,,aucun,non,non,a_pied,15,5,654,oui
community,worker,chw_adfefb9749fa4d799a62c09d,adfefb9749fa4d799a62c09d,data_PROFESS_2026-06-27.xlsx,Sheet1,195,2026,1.0,high,1,info,2026-01-26,D003-0000037,b788c231-44c1-40b3-89ac-0ab1f0a9b243,female,33,ac,AC base,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Ankilimary Centre,Accès normale,CSB2 Ankilimary,2022-12-01,Actif,,oui,autres,oui,autre,oui,Formation,1-3,oui,non,a_pied,30,8,700,oui
community,worker,chw_3be3bb5222236cef17161c1f,3be3bb5222236cef17161c1f,data_PROFESS_2026-06-27.xlsx,Sheet1,196,2026,1.0,high,1,info,2026-01-26,D003-0000039,a22a5eb2-679f-47cf-b0e0-6136cd7c8965,female,33,ac,AC base,Atsimo-Andrefana,Benenitra,Atsimo-Andrefana|Benenitra|Ankilimary,Mandrarano Ouest,Accès normale,CSB2 Ankilimary,2022-12-01,Actif,,oui,autres,oui,autre,oui,Formation,1-3,oui,non,a_pied,15,8,600,oui
